Field,Label,Value
created,Created,2020-03-11T10:00:58.329800
description,Description,See resource descriptions below for links to indicator metadata
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/13d91947-4498-468f-9752-7c80fc2d9bd5/resource/191fa4ae-cfc6-459e-a241-b014dd2a4af6/download/health_indicators_nga.csv
id,Resource ID,191fa4ae-cfc6-459e-a241-b014dd2a4af6
last_modified,Updated,2023-06-15T22:40:55.561885
metadata_modified,Metadata Updated,2023-06-15T22:47:49.285807
microdata,Microdata,False
dataset_id,Dataset ID,13d91947-4498-468f-9752-7c80fc2d9bd5
resource_type,Resource Type,file.upload
name,Resource Name,All Health Indicators for Nigeria
mimetype,MIME Type,
size,Size,9.5M
