Field,Label,Value
created,Created,2020-03-11T10:00:58.329818
description,Description,"Mortality and global health estimates: Infant mortality rate (between birth and 11 months per 1000 live births), Under-five mortality rate (per 1000 live births) (SDG 3.2.1), Maternal mortality ratio (per 100 000 live births), nMx - age-specific death rate between ages x and x+n, nqx - probability of dying between ages x and x+n, lx - number of people left alive at age x, ndx - number of people dying between ages x and x+n, nLx - person-years lived between ages x and x+n, Tx - person-years lived above age x, ex - expectation of life at age x, Number of deaths (see MORT_100), GBD - crude death rate, Neonatal mortality rate (0 to 27 days) per 1000 live births) (SDG 3.2.2), Adult mortality rate (probability of dying between 15 and 60 years per 1000 population), Distribution of years of life lost by major cause group, Age-standardized NCD mortality rate (per 100 000 population), Age-standardized DALYs (per 100,000), Distribution of causes of death among children aged &lt; 5 years (%), Occupational risk factors attributable deaths, Occupational risk factors attributable DALYs ('000), Occupational risk factors attributable deaths per 100'000 capita, Occupational risk factors attributable DALYs per 100'000 capita, Stillbirth rate (per 1000 total births), Number of deaths among children under-five, Number of infant deaths (between birth and 11 months), Number of neonatal deaths (0 to 27 days), Life expectancy at age 60 (years), Number of deaths (see MORT_100), Deaths per 100 000 population, Projection of number of deaths, Projection of deaths per 100 000 population, Disability-adjusted life years (DALYs), Disability-adjusted life years (DALYs) (per 100 000 population), Years of healthy life lost due to disability (YLDs), Years of healthy life lost due to disability (YLDs) (per 100 000 population), Years of life lost from mortality (YLLs), Years of life lost from mortality (YLLs) (per 100 000 population), Number of maternal deaths, Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years), Number of deaths among children ages 5 to 9 years, Mortality rate among children ages 5 to 9 years (per 1000 children aged 5), Number of deaths among children ages 10 to 14 years, Mortality rate among children ages 10 to 14 years (per 1000 children aged 10)"
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/13d91947-4498-468f-9752-7c80fc2d9bd5/resource/db889a15-d529-4bad-9cb8-1e1ada6b907a/download/mortality_and_global_health_estimates_indicators_nga.csv
id,Resource ID,db889a15-d529-4bad-9cb8-1e1ada6b907a
last_modified,Updated,2023-06-15T22:40:55.716081
metadata_modified,Metadata Updated,2023-06-15T22:47:55.192446
microdata,Microdata,False
dataset_id,Dataset ID,13d91947-4498-468f-9752-7c80fc2d9bd5
resource_type,Resource Type,file.upload
name,Resource Name,Mortality and global health estimates Indicators for Nigeria
mimetype,MIME Type,
size,Size,1.2M
