GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),CHILDCAUSE (CODE),CHILDCAUSE (DISPLAY),CHILDCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,#date+year+start,#date+year+end,,,#country+code,#country+name,,,,,#sex+code,#sex+name,,,,,,,,,#indicator+value+num,,,,,
GBD_DALYRTAGE,"Age-standardized DALYs (per 100,000)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/157,PUBLISHED,Published,,2000,2000,,AFR,Africa,,,2000,2000,,,NGA,Nigeria,,,,,,,,GHE000,All Causes,,,,,"111,480",111479.79688,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2001,2001,,AFR,Africa,,,2001,2001,,,NGA,Nigeria,,,,,BTSX,Both sexes,,,,,,,,411,411.48460,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2002,2002,,AFR,Africa,,,2002,2002,,,NGA,Nigeria,,,,,MLE,Male,,,,,,,,432,431.98940,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2002,2002,,AFR,Africa,,,2002,2002,,,NGA,Nigeria,,,,,FMLE,Female,,,,,,,,396,396.01530,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2002,2002,,AFR,Africa,,,2002,2002,,,NGA,Nigeria,,,,,BTSX,Both sexes,,,,,,,,414,413.91660,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2007,2007,,AFR,Africa,,,2007,2007,,,NGA,Nigeria,,,,,MLE,Male,,,,,,,,403,403.30060,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2007,2007,,AFR,Africa,,,2007,2007,,,NGA,Nigeria,,,,,FMLE,Female,,,,,,,,372,372.48350,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2007,2007,,AFR,Africa,,,2007,2007,,,NGA,Nigeria,,,,,BTSX,Both sexes,,,,,,,,388,387.63850,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,MLE,Male,,,,,,,,401,400.74910,,,,,
