GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),TIMEPERIOD (CODE),TIMEPERIOD (DISPLAY),TIMEPERIOD (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,,,#sex+code,#sex+name,,,,,,,,,#indicator+value+num,,,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1982,1982,,AFR,Africa,,NGA,1982,1982,Nigeria,,AGE20-PLUS,20+ years,,MLE,Male,,,,,,,,21.0 [19.8-22.3],21.00000,19.80000,22.30000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1983,1983,,AFR,Africa,,NGA,1983,1983,Nigeria,,AGE20-PLUS,20+ years,,MLE,Male,,,,,,,,21.1 [20.0-22.1],21.10000,20.00000,22.10000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1984,1984,,AFR,Africa,,NGA,1984,1984,Nigeria,,AGE20-PLUS,20+ years,,MLE,Male,,,,,,,,21.1 [20.1-22.0],21.10000,20.10000,22.00000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1985,1985,,AFR,Africa,,NGA,1985,1985,Nigeria,,AGE20-PLUS,20+ years,,MLE,Male,,,,,,,,21.1 [20.2-21.9],21.10000,20.20000,21.90000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1998,1998,,AFR,Africa,,NGA,1998,1998,Nigeria,,AGE20-PLUS,20+ years,,MLE,Male,,,,,,,,22.0 [21.3-22.6],22.00000,21.30000,22.60000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1999,1999,,AFR,Africa,,NGA,1999,1999,Nigeria,,AGE20-PLUS,20+ years,,MLE,Male,,,,,,,,22.0 [21.3-22.8],22.00000,21.30000,22.80000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2000,2000,,AFR,Africa,,NGA,2000,2000,Nigeria,,AGE20-PLUS,20+ years,,MLE,Male,,,,,,,,22.1 [21.4-22.8],22.10000,21.40000,22.80000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2001,2001,,AFR,Africa,,NGA,2001,2001,Nigeria,,AGE20-PLUS,20+ years,,MLE,Male,,,,,,,,22.2 [21.4-22.9],22.20000,21.40000,22.90000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1983,1983,,AFR,Africa,,NGA,1983,1983,Nigeria,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,,,,22.0 [20.8-23.3],22.00000,20.80000,23.30000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1984,1984,,AFR,Africa,,NGA,1984,1984,Nigeria,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,,,,22.0 [20.9-23.2],22.00000,20.90000,23.20000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1985,1985,,AFR,Africa,,NGA,1985,1985,Nigeria,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,,,,22.1 [21.0-23.1],22.10000,21.00000,23.10000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1986,1986,,AFR,Africa,,NGA,1986,1986,Nigeria,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,,,,22.1 [21.2-23.0],22.10000,21.20000,23.00000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2000,2000,,AFR,Africa,,NGA,2000,2000,Nigeria,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,,,,23.0 [22.5-23.5],23.00000,22.50000,23.50000,,,
